,id,new_spec,hydrogen,nitrogen,ammonia,iron,water,nickel,cobalt,magnesium silicate,iron silicate,aluminum,nickel-iron,platinum
645,bK18N01R,Xc,,,,88,,10,0.5,,,,,0.005
646,bK18N02T,Cb,0.235,0.001,0.001,0.083,0.1,0.007,0.001,,,,,
647,bK18P21K,Xc,,,,88,,10,0.5,,,,,0.005
648,bK18P23R,X,,,,88,,10,0.5,,,,,
649,bK18R00C,Sq,,,,,,,,1e-30,0,,,
650,bK18R01Q,X,,,,88,,10,0.5,,,,,
651,bK18R05O,Sq,,,,,,,,1e-30,0,,,
652,bK18S03B,Sk,,,,,,,,1e-30,0,,,
653,bK18S03F,Sq,,,,,,,,1e-30,0,,,
654,bK18T00A,Q,,,,,,,,,,,13.315,
655,bK18T00R,S,,,,,,,,1e-30,0,,,
656,bK18T01Z,Sk,,,,,,,,1e-30,0,,,
657,bK18T06D,S,,,,,,,,1e-30,0,,,
658,bK18U01M,Q,,,,,,,,,,,13.315,
