,id,new_spec,est_mass,hydrogen_kg,nitrogen_kg,ammonia_kg,iron_kg,water_kg,nickel_kg,cobalt_kg,magnesium silicate_kg,iron silicate_kg,aluminum_kg,nickel-iron_kg,platinum_kg
112,bK04V01J,Sq,88013976.89725484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.801397689725485e-23,0.0,0.0,0.0,0.0
113,bK04W01H,Sq,101438417.16745053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0143841716745054e-22,0.0,0.0,0.0,0.0
114,bK04X00G,D,44780743.02845908,0.0,0.0,0.0,0.0,1029.9570896545588,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,bK04X03K,S,58894291.76511626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.889429176511626e-23,0.0,0.0,0.0,0.0
116,bK04X51D,Xk,49569686.536896035,0.0,0.0,0.0,4362132415.246851,0.0,495696865.3689604,24784843.268448018,0.0,0.0,0.0,0.0,0.0
117,bK05B28G,X,21731750.73005438,0.0,0.0,0.0,1912394064.2447853,0.0,217317507.30054379,10865875.36502719,0.0,0.0,0.0,0.0,0.0
118,bK05E70R,S,38433029.21279442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.843302921279443e-23,0.0,0.0,0.0,0.0
119,bK05E94H,T,67201166.56648487,0.0,0.0,0.0,403206999.3989092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,bK05E95R,S,15017051.851721963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5017051851721965e-23,0.0,0.0,0.0,0.0
121,bK05F00G,B,59664223.68586029,14021092.566177167,59664.22368586029,59664.22368586029,596642236.8586029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,bK05F00J,Sl,45363902.80306832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5363902803068323e-23,0.0,0.0,0.0,0.0
123,bK05H04B,S,58679932.66898581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.867993266898581e-23,0.0,0.0,0.0,0.0
124,bK05K00A,V,38261138.24084614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8261138240846145e-23,0.0,0.0,0.0,0.0
125,bK05O03H,X,12133999.540801782,0.0,0.0,0.0,1067791959.5905569,0.0,121339995.40801781,6066999.770400891,0.0,0.0,0.0,0.0,0.0
126,bK05R03K,Sk,155832053.30763438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.558320533076344e-22,0.0,0.0,0.0,0.0
127,bK05T45F,Sq,355419791.3082806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5541979130828064e-22,0.0,0.0,0.0,0.0
128,bK05T50G,S,33711329.86328625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.371132986328625e-23,0.0,0.0,0.0,0.0
129,bK05U05G,Sq,66763987.180147395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67639871801474e-23,0.0,0.0,0.0,0.0
130,bK05W00A,Ld,116561843.8085147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.165618438085147e-22,0.0,0.0,0.0,0.0
131,bK05Y01Y,S,355377087.9417484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5537708794174843e-22,0.0,0.0,0.0,0.0
132,bK05Y37A,Q,1062811641.2568264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14151337003.334642,0.0
133,bK06B07X,S,45385870.917709835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.538587091770984e-23,0.0,0.0,0.0,0.0
134,bK06B55J,X,148954055.73167172,0.0,0.0,0.0,13107956904.387112,0.0,1489540557.3167171,74477027.86583586,0.0,0.0,0.0,0.0,0.0
135,bK06BE7Z,Sa,14816565.239018835,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.408282619509418e-24,0.0,0.0,0.0,0.0
136,bK06C00K,Q,8467328.32772895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112742476.68371096,0.0
137,bK06C00T,U,1062713967.1777639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,bK06C09L,Sq,531779580.8412909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.317795808412909e-22,0.0,0.0,0.0,0.0
139,bK06D00X,Q,116502740.95944521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1551233995.8750129,0.0
140,bK06F36H,Sk,355404649.5929646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5540464959296463e-22,0.0,0.0,0.0,0.0
141,bK06G00B,T,9844552375.857704,0.0,0.0,0.0,59067314255.146225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,bK06G01B,S,174827772.28838617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7482777228838618e-22,0.0,0.0,0.0,0.0
143,bK06H00C,Sl,14711816.236867221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4711816236867222e-23,0.0,0.0,0.0,0.0
144,bK06H05Z,V,50881543.339613385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.088154333961339e-23,0.0,0.0,0.0,0.0
145,bK06H50U,Sq,38647285.86453451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8647285864534514e-23,0.0,0.0,0.0,0.0
146,bK06H50W,O,30255843.93774028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89708577.27539992,37819804.92217535
147,bK06Q89V,X,25557535.145707723,0.0,0.0,0.0,2249063092.8222795,0.0,255575351.45707723,12778767.572853861,0.0,0.0,0.0,0.0,0.0
148,bK06R01J,Sq,1213870103.3885245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2138701033885247e-21,0.0,0.0,0.0,0.0
149,bK06S05Y,K,714094274.7475173,167812154.56566656,714094.2747475173,714094.2747475173,59269824.80404394,71409427.47475174,4998659.9232326215,714094.2747475173,0.0,0.0,0.0,0.0,0.0
